Time,Source,Destination,Protocol,Length,Src port,Dest port,Target
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60831,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60832,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60833,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60834,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60835,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60836,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60837,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60838,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60839,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60840,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60841,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60842,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60843,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60844,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60845,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60846,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60847,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60848,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60849,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60850,80,1
21:06.7,192.168.122.34,192.168.122.190,TCP,66,60851,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60852,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60853,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60854,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60855,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60856,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60857,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60858,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60859,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60860,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60861,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60862,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60863,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60864,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60865,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60866,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60867,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60868,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60869,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60870,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60871,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60872,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60873,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60874,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60875,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60876,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60877,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60878,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60879,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60880,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60881,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60882,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60883,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60884,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60885,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60886,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60887,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60888,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60889,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60890,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60891,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60892,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60893,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60894,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60895,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60896,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60897,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60898,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60899,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60900,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60901,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60902,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60903,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60904,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60905,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60906,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60907,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60908,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60909,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60910,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60911,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60912,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60913,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60914,80,1
21:07.0,192.168.122.34,192.168.122.190,TCP,66,60915,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60916,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60917,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60918,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60919,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60920,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60921,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60922,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60923,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60924,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60925,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60926,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60927,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60928,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60929,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60930,80,1
21:07.1,192.168.122.46,192.168.122.190,TCP,66,49744,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60931,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60932,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60933,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60934,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60935,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60936,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60937,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60938,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60939,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60940,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60941,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60942,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60943,80,1
21:07.1,192.168.122.46,192.168.122.190,TCP,66,49745,80,1
21:07.1,192.168.122.46,192.168.122.190,TCP,66,49746,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60944,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60945,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60946,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60947,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60948,80,1
21:07.1,192.168.122.34,192.168.122.190,TCP,66,60949,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60950,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60951,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60952,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60953,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60954,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60955,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60956,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60957,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60958,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60959,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60960,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60961,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60962,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60963,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60964,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60965,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60966,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60967,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60968,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60969,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60970,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60971,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60972,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60973,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60974,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60975,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60976,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60977,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60978,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60979,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60980,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60981,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60982,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60983,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60984,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60985,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60986,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60987,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60988,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60989,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60990,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60991,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60992,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60993,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60994,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60995,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60996,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60997,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60998,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,60999,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,61000,80,1
21:07.2,192.168.122.34,192.168.122.190,TCP,66,61001,80,1
21:07.2,192.168.122.46,192.168.122.190,TCP,66,49747,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61002,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61003,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61004,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61005,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61006,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61007,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61008,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61009,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61010,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61011,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61012,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61013,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61014,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61015,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61016,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61017,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61018,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61019,80,1
21:07.4,192.168.122.34,192.168.122.190,TCP,66,61020,80,1
21:07.6,192.168.122.34,192.168.122.190,TCP,66,61021,80,1
21:07.6,192.168.122.34,192.168.122.190,TCP,66,61022,80,1
21:07.6,192.168.122.34,192.168.122.190,TCP,66,61023,80,1
21:07.6,192.168.122.34,192.168.122.190,TCP,66,61024,80,1
21:07.6,192.168.122.34,192.168.122.190,TCP,66,61025,80,1
21:07.6,192.168.122.34,192.168.122.190,TCP,66,61026,80,1
21:07.6,192.168.122.34,192.168.122.190,TCP,66,61027,80,1
21:07.7,192.168.122.34,192.168.122.190,TCP,66,61028,80,1
21:07.7,192.168.122.34,192.168.122.190,TCP,66,61029,80,1
21:07.7,192.168.122.34,192.168.122.190,TCP,66,61030,80,1
21:07.7,192.168.122.34,192.168.122.190,TCP,66,61031,80,1
